0.41,4.706E-06
0.82,1.368E-05
1.23,2.267E-05
1.64,3.502E-05
2.05,5.221E-05
2.46,7.279E-05
2.87,9.675E-05
3.28,0.0001241
3.69,0.0001547
4.1,0.0001887
4.51,0.0002259
4.92,0.0002663
5.33,0.00031
5.74,0.0003568
6.15,0.0004067
6.56,0.0004596
6.97,0.0005156
7.38,0.0005745
7.79,0.0006362
8.2,0.0007008
8.61,0.0007682
9.02,0.0008383
9.43,0.000911
9.84,0.0009863
10.25,0.001064
10.66,0.001144
11.07,0.001227
11.48,0.001311
11.89,0.001398
12.3,0.001487
12.7,0.001578
13.11,0.001671
13.52,0.001766
13.93,0.001862
14.34,0.00196
14.75,0.00206
15.16,0.002161
15.57,0.002264
15.98,0.002367
16.39,0.002472
16.8,0.002578
17.21,0.002685
17.62,0.002793
18.03,0.002901
18.44,0.00301
18.85,0.00312
19.26,0.00323
19.67,0.003341
20.08,0.003451
20.49,0.003562
20.9,0.003673
21.31,0.003784
21.72,0.003895
22.13,0.004005
22.54,0.004116
22.95,0.004225
23.36,0.004334
23.77,0.004443
24.18,0.004551
24.59,0.004658
25,0.004764
25.41,0.004869
25.82,0.004973
26.23,0.005076
26.64,0.005177
27.05,0.005277
27.46,0.005376
27.87,0.005474
28.28,0.005569
28.69,0.005663
29.1,0.005756
29.51,0.005846
29.92,0.005935
30.33,0.006021
30.74,0.006106
31.15,0.006189
31.56,0.006269
31.97,0.006348
32.38,0.006424
32.79,0.006498
33.2,0.006569
33.61,0.006638
34.02,0.006705
34.43,0.00677
34.84,0.006831
35.25,0.006891
35.66,0.006947
36.07,0.007002
36.48,0.007053
36.89,0.007102
37.3,0.007148
37.7,0.007192
38.11,0.007233
38.52,0.007272
38.93,0.007307
39.34,0.00734
39.75,0.00737
40.16,0.007398
40.57,0.007423
40.98,0.007445
41.39,0.007464
41.8,0.007481
42.21,0.007495
42.62,0.007506
43.03,0.007515
43.44,0.007521
43.85,0.007525
44.26,0.007525
44.67,0.007524
45.08,0.00752
45.49,0.007513
45.9,0.007505
46.31,0.007493
46.72,0.007479
47.13,0.007463
47.54,0.007444
47.95,0.007423
48.36,0.007399
48.77,0.007374
49.18,0.007347
49.59,0.007317
50,0.007285
50.41,0.007251
50.82,0.007216
51.23,0.007178
51.64,0.007138
52.05,0.007097
52.46,0.007054
52.87,0.007009
53.28,0.006962
53.69,0.006914
54.1,0.006865
54.51,0.006813
54.92,0.006761
55.33,0.006706
55.74,0.006651
56.15,0.006594
56.56,0.006536
56.97,0.006477
57.38,0.006417
57.79,0.006355
58.2,0.006292
58.61,0.006229
59.02,0.006164
59.43,0.006099
59.84,0.006033
60.25,0.005966
60.66,0.005899
61.07,0.00583
61.48,0.005762
61.89,0.005692
62.3,0.005622
62.7,0.005552
63.11,0.005481
63.52,0.00541
63.93,0.005339
64.34,0.005267
64.75,0.005195
65.16,0.005123
65.57,0.005051
65.98,0.004978
66.39,0.004906
66.8,0.004834
67.21,0.004761
67.62,0.004689
68.03,0.004616
68.44,0.004544
68.85,0.004472
69.26,0.004401
69.67,0.004329
70.08,0.004258
70.49,0.004187
70.9,0.004116
71.31,0.004046
71.72,0.003976
72.13,0.003907
72.54,0.003838
72.95,0.003769
73.36,0.003701
73.77,0.003633
74.18,0.003566
74.59,0.0035
75,0.003434
75.41,0.003369
75.82,0.003304
76.23,0.00324
76.64,0.003176
77.05,0.003114
77.46,0.003051
77.87,0.00299
78.28,0.002929
78.69,0.002869
79.1,0.00281
79.51,0.002751
79.92,0.002694
80.33,0.002637
80.74,0.00258
81.15,0.002525
81.56,0.00247
81.97,0.002416
82.38,0.002363
82.79,0.00231
83.2,0.002258
83.61,0.002207
84.02,0.002157
84.43,0.002108
84.84,0.002059
85.25,0.002012
85.66,0.001965
86.07,0.001918
86.48,0.001873
86.89,0.001828
87.3,0.001784
87.7,0.001741
88.11,0.001699
88.52,0.001658
88.93,0.001617
89.34,0.001577
89.75,0.001537
90.16,0.001499
90.57,0.001461
90.98,0.001424
91.39,0.001388
91.8,0.001352
92.21,0.001317
92.62,0.001283
93.03,0.00125
93.44,0.001217
93.85,0.001185
94.26,0.001153
94.67,0.001123
95.08,0.001093
95.49,0.001063
95.9,0.001035
96.31,0.001006
96.72,0.0009789
97.13,0.0009521
97.54,0.0009258
97.95,0.0009002
98.36,0.0008751
98.77,0.0008506
99.18,0.0008267
99.59,0.0008034
100,0.0007806
100.41,0.0007583
100.82,0.0007367
101.23,0.0007155
101.64,0.0006948
102.05,0.0006747
102.46,0.0006551
102.87,0.0006359
103.28,0.0006172
103.69,0.000599
104.1,0.0005813
104.51,0.000564
104.92,0.0005472
105.33,0.0005308
105.74,0.0005149
106.15,0.0004993
106.56,0.0004842
106.97,0.0004695
107.38,0.0004552
107.79,0.0004412
108.2,0.0004276
108.61,0.0004145
109.02,0.0004016
109.43,0.0003891
109.84,0.000377
110.25,0.0003652
110.66,0.0003537
111.07,0.0003426
111.48,0.0003318
111.89,0.0003212
112.3,0.000311
112.7,0.0003011
113.11,0.0002914
113.52,0.0002821
113.93,0.000273
114.34,0.0002641
114.75,0.0002556
115.16,0.0002472
115.57,0.0002392
115.98,0.0002313
116.39,0.0002237
116.8,0.0002164
117.21,0.0002092
117.62,0.0002023
118.03,0.0001956
118.44,0.000189
118.85,0.0001827
119.26,0.0001766
119.67,0.0001707
120.08,0.0001649
120.49,0.0001593
120.9,0.0001539
121.31,0.0001487
121.72,0.0001436
122.13,0.0001387
122.54,0.000134
122.95,0.0001294
123.36,0.0001249
123.77,0.0001206
